kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
tema,gendong,- ito nggituo haimu,gendonglah adikmu itu
"temba, metemba'i",menembak,inaku - kadue,saya menembak anuang
tinemba,ditembaki,lau-launo langsung saja ditembaki,
tembaito,tembaklah,i panaapi' ito mune ai - tembaklah ke sana,engkau tembaklah
tembe,pelimbahan,mokoisi'i towodo - mu,kotor benar pelimbahanmu
tembimbiro,berkedip (mata) sekejap,iamo no - matamu,jangan berkedip matamu
tembu'u,selama,molito wotolumu u motusu,ringan badanmu selama kau kurus
"tena, tumena",menyuruh,i bio - i batulu,Bio menyuruh Batulu
endeno,bukan main,- meambo,bukan main bagusnya
"tene, mondene",mengangkat,mokora inggoo - momomeno,engkau kuat mengangkat yang berat-berat
tengiri,ngeri,keno mohakimu iamo u -,kalau kau rasa sakit jangan kau ngeri
"tengge, mendengge-tengge","bertengger, berdiri",la'ito itoono tina hada la ene - ne mumum watarema,monyet betina itu sudah pergi juga berdiri ke atas pohon enau
eopia,bilaman,- auleu ramahi i Jakarta?,bilamana Anda datang ke Jakarta?
leopu,kentut,- ku onggo -,saya akan kentut
epehawari,"rindu, sudah ingat",ro kambo nioano,dia rindu kampung kelahirannya
epenggookoro,dowo bonafid,ana dalo nggiro'o -,anak itu bonafid
lepeoaaloka,lolos,konotulei -,tidak bisa ia lolos
epihai,pecah,- rondeno,gelasnya pecah
epolika,habis dipindahkan,mbakoi ano - hanunggu,kenapa dipindahkan saya punya
"teporumbu, mbendeporumbu be",kumpul,luwuakono - i kando mohina,semunay berkumpul kantor besok
"tepulasi, mbendepulasi terlepas, sel","sai, usai, zoono - monggaa, sele",orang makan,
terengga,bobrak,laikano - ito,r mahnya sudah bobrok
tewali,boleh,- ikaa u lako,boleh kau pergi
tewali,jadi,no onggo - patidu dunia. dia mau jadi petinju dunia,
tewali,cantik,- meena nggiro'o laule,cantik sekali gadis itu
"tewe, motewe",tawar,iwoi -,air tawar
tewere,kuatir,iamoto -,janganlah kuatr
"tewinda, anotewinda ia",lepas,- dowo ana dalo nggiro'o,ia lepas sendiri anak-anak itu
tewondo,"lelah, capek",- no ari lako,dia lelah dari bepergian
tewotu,benjol,raino mowaka ronga -,mukanya luka dan benjol
tewuho,busuk,rotopaano -k ketiaknya busuk,
tewuta,berak,ana dalo nggiro'o i rai ndambo,anak itu berak di muka pintu
tewutakoi,memberaki,inae - paalua buboto nggiro'o,siapa yang memberaki bantal guling itu?
"tiba, tumiba'i",membangunkan,i bio - haimu,Bio membangunkan adikmu
petidu,bertinju,no - lakonoto mesembaki,dia meninju kemudian dia menendang
patidu,petinju,no onggo tewali - dunia,dia mau jadi petinju dunia
tumidui,meninjunya,sukoi inae - tanyai siapa yang meninjunya,
tinidu,tinju,saarino - lau-lau no lulaa i kalimba,setelah dia ditinju langsung dia terlempar ke parit
"tilari, tumilari",memberikan,inge komiu o wete,siapa yang memberikan kalian ikan?
tile,paginya,- no o sapi nggiro'o notarii orui,paginya sapi itu tergores duri
limba,datang; tiba,iepo noonggo - tembu mo laa lako,baru saja dia mau datang selama dia pergi
"timba, pondimba","tempat, timbangan",lakonoto hae pesakina - no,lalu mereka pindah ke tempat timbangan
anandia,anak perempuan,ano ponaa o aso - tamono i watandiabe,dia melahirkan satu anak perempuan bernama Watandiabe
"tinda, tindakee",pisahkan,- hapohapomu,pisahkan barang-barangmu
tinda,ananggae jari manis,tinda ronga ananggae no i Ani mohaki,jari manis dan jari kelingking Ani sakit
tinealohi,pengalaman,ipue sumarui ari-ari - no,nenek menceritakan tentang pengalamannya
tirindiri,woa jengkerik,ihiro sumawu -,mereka mengadu jengkerik
anomonditiro,dia melihat ke bawah,- tai ana dalo itado horo,dia melihat ke bawah mencari kotoran anak-anak di bawah lantai
anopetitiro,ia meninjau,- anawai mbinasebu,ia meninjau bidadari pingitan
titisu,puyu,- nokamoi okongga,
akuto,saya akan,- hae umale' ikee walino,saya akan mengambil lagi istrinya
aroto,mereka akan,- hae mbule te'eninggee Mokole,mereka akan pulang lagi memberitahukan raja
to,kita,inggito nilanggu karana pomboponini,kita dipukul karena kita mencuri
aleito,ambillah,maa - anotu mbule,"ya, ambillah supaya engkau cepat pulang"
toa,lihat,ano - iro laa mbesumepa,dan dia lihat mereka bermain raga
toai,lihat,ano - Saweringadi laa mombetemba,dia lihat Saweringading duduk bersila
tobo,keris,- mu nggiro'o,kerism itu?
metobo,menikam,sabutono la nggo dunggu i laikano to - dow ano mate,"setelah dia sampai ¢ rumahnya, dia menikam diriny sehingga mati"
metobokee,menusukkan,lakc noto - pisino ine rini,lalu dia me nusukkan pisaunya ke dinding
toboikee,tikamkan,ano - o pis aandotopaano,dia tikamkan pisa di ketiaknya
tumoboi,menikam,inge - niin ana dalo,siapa yang menikar anak-anak itu?
"toe, tinoe",gantungan,powai - pet olu ano amamu,membuar gar tungan tempat ayam bertelur
"toha, motoha",keras,- ako o wat hiino,batu ini keras sekali
"ltokaa, aulakotokaa engkau",pergi saja,kokomohinapo ona - mbusunggee anoterumba,nanti subuh engkau pergi saja mendorong supaya runtuh
tokaa,atotokaa sudah akan kita,- Mowai laika landa,sudah akan kita buat rumah (dangau) saja
"toke, o toke",tokek,- morako otita ihawi,tokek menangkap cecak
tutokoa,tempat hinggap,umbe nggu i keni,di mana tempat hinggapku di sini?
"toko, o toko",beting,ieto tundawuano oone i wowa aalaa,beting ialah timbunan pasir di muara sungai
tolea,pembicara adat,-. laa lako mesambepo no laa nio molasu otina rongga anandonia,pembicara adat sementara pergi menghubungi ada yang lari perempuan dengan anak muda
"olu, kotolu",ketiga,o raha i - rahano i Oheo,rumah yang ketiga rumah Oheo
omba,pinggir,i - homa lahano mohai,tempat kebakaran di pinggir hutan
ombara,di pinggir,inae nggo moia ito - no,siapa mau tinggal di pinggirnya
omoko,hinggap,lale laa - i pu'u mbundi,lalat sedang hinggap di pohon pisang
onai,mempan,- padeno ine kasu,parang dia mempan pada kayu
"onda, motonda",jatuh,daga ke'e haimu,"awas, nanti jatuh adikmu"
ondo,bendung,tondo i iwoi laa waa nggiro'o,bendung air yang mengalir itu
patondo,pembendung,- ieto toono laa mondondo,pembendung ialah orang yang menbendung
petondoano,pembendungan,indio pondondoa tamono - perbuatan membendung namanya pembendungan,
tumonduo,merendamkan,i bio ueno i batulu i pangemba,Bio merendamkan rotan Batulu di empang
tinondomi,direndam,o tolu o wingi no - ia iwoi,tiga malam dia direndam di air
"onduri, mondonduri",memancing,i,
ltonggo,persis,- i tongano,persi di tengahnya
tonggo,paling,- i tongano,palin di tengahnya
